 ,,,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,,,,,,,
nj,,% BSO Failed Interior,0.022222222,0.053691275,0.045045045,0.028037383,0.033783784,0.02739726,,0.026315789,,0.035294118,,,
nj,,% BSO Failed Exterior,0.037037037,0.046979866,0.027027027,0.056074766,0.054054054,0.02739726,,0,,0.058823529,,,
nj,,% BSO Failed Trash Removal,0.066666667,0.026845638,0.072072072,0.046728972,0.040540541,0.02739726,,0.026315789,,0.041176471,,,
nj,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
nj,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
nj,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
nj,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
nj,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
nj,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
nj,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
nj,Ongoing QC,Ongoing Services QC Completed,220,310,273,379,539,297,,199,39,720,,,
nj,,Ongoing Services Safety Rating,0.804545455,0.816129032,0.831501832,0.754617414,0.755102041,0.814814815,,,-,,,,
nj,,Ongoing Services Interior Rating,0.927272727,0.890322581,0.904761905,0.870712401,0.846011132,0.851851852,,,-,,,,
nj,,Ongoing Services Exterior Rating,0.727272727,0.677419355,0.622710623,0.654353562,0.6567718,0.62962963,,,-,,,,
nj,,Overall Ongoing Services QC Score,0.85,0.874193548,0.831501832,0.791556728,0.788497217,0.811447811,0.811447811,,-,,,16,20
nj,Seasonal,Wint Count,30,0,0,0,234,275,,,,,,,
nj,,Avg Days to Complete Wints,12.5,,,,19.49145299,31.45090909,,,,,,,
nj,,Initial Winterization % Overdue,,,,0,0.964566929,,,,,,,,
nj,,Grass Cut Count,,,,,,,,,,,,,
nj,,% Grass Cut Passing,0.727272727,0.722580645,0.710622711,0.791556728,0.80148423,0.747474747,,0.753768844,-0.025397822,0.779166667,,,
nj,,,,,,,,,,,,,,,
nj,,,,,,,,,,,,Overall Score,,82,
PA,Pennsylvania,,,,,,,,,,,,,,
PA,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
PA,Initial Services,Initial Services Completed,149,155,136,138,93,61,,30,8,99,,,
PA,,Average Days to Complete Initial Service,13.1023622,10.42424242,11.10344828,9.890756303,9.184210526,9.682926829,9.682926829,9.672566372,-1.019954404,10.69252078,,12,20
PA,,Average Days to BSO Pass,10.8974359,9.62962963,12.07563025,11.16393443,10.79220779,9.887850467,,9.672566372,-1.019954404,10.69252078,,,
PA,,% Completed >10 Days,0.5,0.386416862,0.47715736,0.462337662,0.35,0.292682927,0.292682927,0.300884956,-0.0342951,0.335180055,,,
PA,,Initial Interior Maintenance % Overdue,0.700680272,0.556291391,0.613138686,0.6,0.480392157,0.421052632,,0.404761905,-0.061403509,0.466165414,,,
PA,,Initial Exterior Maintenance % Overdue,0.464566929,0.333333333,0.474137931,0.394957983,0.328947368,0.280701754,,0.266666667,-0.056565657,0.323232323,,,
PA,,Initial Trash Removal % Overdue,0.704225352,0.541666667,0.631205674,0.564885496,0.5,0.375,,0.341463415,-0.154660616,0.496124031,,,
PA,,Initial Interior Maintenance % Overdue,0.488888889,0.392857143,0.42,0.5,0.348837209,0.114285714,0.114285714,,,,,,
PA,,Initial Exterior Maintenance % Overdue,0.307692308,0.45,0.357142857,0.368421053,0.310344828,0.103448276,0.103448276,,,,,,
PA,,Initial Trash Removal % Overdue,0.333333333,0.361702128,0.384615385,0.419354839,0.27027027,0.125,0.125,,,,,,
PA,Initial QC,Initial Services QC Completed,64,92,134,150,111,60,,27,-10.33333333,168,,,
PA,,Initial Safety Rating,0.78125,0.836956522,0.753731343,0.726666667,0.72972973,0.783333333,,0.777777778,0.021825397,0.755952381,,,
PA,,Initial Interior Rating,0.859375,0.902173913,0.873134328,0.88,0.837837838,0.9,,0.814814815,-0.042328042,0.857142857,,,
PA,,Initial Exterior Rating,0.6875,0.75,0.701492537,0.68,0.711711712,0.7,,0.666666667,-0.035714286,0.702380952,,,
PA,,Overall Initial Services QC Score,0.828125,0.913043478,0.791044776,0.806666667,0.756756757,0.833333333,0.833333333,0.740740741,-0.039021164,0.779761905,,16,20
PA,BSO,Initial BSO Volume,128,140,113,130,100,54,,32,6.888888889,113,,,
PA,,Initial BSO % Passing,0.859375,0.892857143,0.849557522,0.9,0.94,0.888888889,,0.90625,-0.014103982,0.920353982,,20,20
PA,,Overall BSO % Passing,0.867088608,0.875,0.794520548,0.883435583,0.916666667,0.888888889,,0.891891892,-0.019219219,0.911111111,,10,10
PA,,Number of Reorders,30,28,33,33,20,9,,5,0.111111111,22,,,
PA,,Average Days to Complete Reorder,13.65,12.53571429,19.05882353,19.26086957,13.33333333,34,34,,-,,,0,10
PA,,Number of Failed BSO,18,15,17,13,6,6,,3,1,9,,,
PA,,% BSO Failed Interior,0.0625,0.064285714,0.053097345,0.053846154,0.05,0.037037037,,0.03125,,0.053097345,,,
PA,,% BSO Failed Exterior,0.0625,0.064285714,0.079646018,0.038461538,0.02,0.092592593,,0.09375,,0.03539823,,,
PA,,% BSO Failed Trash Removal,0.078125,0.05,0.088495575,0.046153846,0.03,0.037037037,,0.0625,,0.026548673,,,
PA,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
PA,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
PA,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
PA,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
PA,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
PA,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
PA,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
PA,Ongoing QC,Ongoing Services QC Completed,80,136,155,218,356,136,,78,-15.55555556,421,,,
PA,,Ongoing Services Safety Rating,0.85,0.830882353,0.819354839,0.747706422,0.792134831,0.845588235,,,-,,,,
PA,,Ongoing Services Interior Rating,0.875,0.867647059,0.883870968,0.821100917,0.780898876,0.838235294,,,-,,,,
PA,,Ongoing Services Exterior Rating,0.65,0.647058824,0.664516129,0.518348624,0.547752809,0.625,,,-,,,,
PA,,Overall Ongoing Services QC Score,0.825,0.823529412,0.838709677,0.756880734,0.741573034,0.794117647,0.794117647,,-,,,16,20
PA,Seasonal,Wint Count,60,66,0,0,326,130,,,,,,,
PA,,Avg Days to Complete Wints,12.05,0,,,14.63803681,26.69230769,,,,,,,
PA,,Initial Winterization % Overdue,,,,,0.95412844,,,,,,,,
PA,,Grass Cut Count,,,,,,,,,,,,,
PA,,% Grass Cut Passing,0.65,0.639705882,0.677419355,0.674311927,0.668539326,0.75,,0.743589744,0.052378342,0.691211401,,,
PA,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,Overall Score,,74,
VA,Virginia,,,,,,,,,,,,,,
VA,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
VA,Initial Services,Initial Services Completed,80,75,71,58,59,40,,13,-4.333333333,78,,,
VA,,Average Days to Complete Initial Service,11.01351351,7.121212121,8.641791045,9.7,8.964285714,7.403508772,7.403508772,8.021276596,-1.582805037,9.604081633,,16,20
VA,,Average Days to BSO Pass,7.442857143,8.926470588,10.56521739,8.448979592,11.74137931,8.664,,8.021276596,-1.582805037,9.604081633,,,
VA,,% Completed >10 Days,0.239819005,0.179487179,0.32195122,0.20625,0.262295082,0.122807018,0.122807018,0.127659574,-0.096830221,0.224489796,,,
VA,,Initial Interior Maintenance % Overdue,0.486111111,0.372093023,0.617647059,0.350877193,0.390625,0.175,,0.176470588,-0.156862745,0.333333333,,,
VA,,Initial Exterior Maintenance % Overdue,0.22972973,0.121212121,0.28358209,0.22,0.232142857,0.135135135,,0.230769231,0.038461538,0.192307692,,,
VA,,Initial Trash Removal % Overdue,0.426666667,0.402439024,0.6,0.339622642,0.396825397,0.135135135,,0.176470588,-0.148830617,0.325301205,,,
VA,,Initial Interior Maintenance % Overdue,0.285714286,0.210526316,0.25,0.277777778,0.136363636,0.4,0.4,,,,,,
VA,,Initial Exterior Maintenance % Overdue,0.166666667,0.1875,0.1,0.166666667,0.052631579,0.272727273,0.272727273,,,,,,
VA,,Initial Trash Removal % Overdue,0.25,0.071428571,0.111111111,0.214285714,0.05,0.3,0.3,,,,,,
VA,Initial QC,Initial Services QC Completed,45,39,74,97,52,30,,13,-4.111111111,77,,,
VA,,Initial Safety Rating,0.777777778,0.794871795,0.905405405,0.804123711,0.865384615,0.9,,0.923076923,0.03996004,0.883116883,,,
VA,,Initial Interior Rating,1,0.846153846,0.891891892,0.81443299,0.980769231,0.9,,0.923076923,-0.024975025,0.948051948,,,
VA,,Initial Exterior Rating,0.866666667,0.846153846,0.783783784,0.793814433,0.807692308,0.966666667,,1,0.142857143,0.857142857,,,
VA,,Overall Initial Services QC Score,0.933333333,0.897435897,0.878378378,0.835051546,0.961538462,0.966666667,0.966666667,0.923076923,-0.037962038,0.961038961,,20,20
VA,BSO,Initial BSO Volume,64,85,59,57,57,33,,13,-3.222222222,73,,,
VA,,Initial BSO % Passing,0.875,0.870588235,0.830508475,0.964912281,0.859649123,0.909090909,,0.846153846,-0.057955743,0.904109589,,20,20
VA,,Overall BSO % Passing,0.846153846,0.864583333,0.833333333,0.968253968,0.833333333,0.918918919,,0.866666667,-0.014285714,0.880952381,,10,10
VA,,Number of Reorders,14,11,13,6,9,4,,2,-0.444444444,11,,,
VA,,Average Days to Complete Reorder,15.16666667,15.08333333,12.38461538,11.22222222,25.14285714,11.66666667,11.66666667,,-,,,6,10
VA,,Number of Failed BSO,8,11,10,2,8,3,,2,0.444444444,7,,,
VA,,% BSO Failed Interior,0.046875,0.058823529,0.084745763,0,0.035087719,0,,0,,0.01369863,,,
VA,,% BSO Failed Exterior,0.0625,0.082352941,0.050847458,0.01754386,0.070175439,0.060606061,,0.153846154,,0.04109589,,,
VA,,% BSO Failed Trash Removal,0.078125,0.058823529,0.050847458,0.01754386,0.087719298,0.090909091,,0.153846154,,0.068493151,,,
VA,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
VA,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
VA,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
VA,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
VA,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
VA,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
VA,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
VA,Ongoing QC,Ongoing Services QC Completed,60,56,91,137,191,77,,35,-20.33333333,249,,,
VA,,Ongoing Services Safety Rating,0.866666667,0.875,0.901098901,0.861313869,0.910994764,0.974025974,,,-,,,,
VA,,Ongoing Services Interior Rating,0.983333333,0.928571429,0.912087912,0.890510949,0.968586387,0.948051948,,,-,,,,
VA,,Ongoing Services Exterior Rating,0.75,0.892857143,0.747252747,0.744525547,0.732984293,0.948051948,,,-,,,,
VA,,Overall Ongoing Services QC Score,0.883333333,0.964285714,0.901098901,0.905109489,0.921465969,0.974025974,0.974025974,,-,,,20,20
VA,Seasonal,Wint Count,0,0,0,0,0,198,,,,,,,
VA,,Avg Days to Complete Wints,,,,,,9.464646465,,,,,,,
VA,,Initial Winterization % Overdue,,,,,,,,,,,,,
VA,,Grass Cut Count,,,,,,,,,,,,,
VA,,% Grass Cut Passing,0.55,0.785714286,0.736263736,0.649635036,0.701570681,0.857142857,,0.8,0.061044177,0.738955823,,,
VA,,,,,,,,,,,,,,,
VA,,,,,,,,,,,,Overall Score,,92,
WV,West Virginia,,,,,,,,,,,,,,
WV,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
WV,Initial Services,Initial Services Completed,22,19,19,26,13,6,,4,0.888888889,14,,,
WV,,Average Days to Complete Initial Service,9.210526316,9.8,11.83333333,9.318181818,10.16666667,10.66666667,10.66666667,8.0625,-3.976715686,12.03921569,,12,20
WV,,Average Days to BSO Pass,11.5,9.8,15.05555556,9.956521739,10.16666667,10.66666667,,8.0625,-3.976715686,12.03921569,,,
WV,,% Completed >10 Days,0.351851852,0.34375,0.423076923,0.389830508,0.418604651,0.458333333,0.458333333,0.1875,-0.322303922,0.509803922,,,
WV,,Initial Interior Maintenance % Overdue,0.470588235,0.541666667,0.470588235,0.444444444,0.529411765,0.444444444,,0.166666667,-0.433333333,0.6,,,
WV,,Initial Exterior Maintenance % Overdue,0.368421053,0.333333333,0.444444444,0.409090909,0.333333333,0.5,,0.25,-0.178571429,0.428571429,,,
WV,,Initial Trash Removal % Overdue,0.5,0.56,0.470588235,0.526315789,0.428571429,0.444444444,,0.166666667,-0.362745098,0.529411765,,,
WV,,Initial Interior Maintenance % Overdue,0.444444444,0.285714286,0.333333333,0.285714286,0.75,0.076923077,0.076923077,,,,,,
WV,,Initial Exterior Maintenance % Overdue,0.333333333,0.166666667,0,0.5,0.666666667,0.142857143,0.142857143,,,,,,
WV,,Initial Trash Removal % Overdue,0.25,0.2,0.4,0.25,0.75,0.076923077,0.076923077,,,,,,
WV,Initial QC,Initial Services QC Completed,5,8,27,26,34,7,,2,-7.111111111,41,,,
WV,,Initial Safety Rating,0.8,1,0.851851852,0.769230769,0.764705882,0.571428571,,0.5,-0.231707317,0.731707317,,,
WV,,Initial Interior Rating,0.8,1,0.925925926,0.923076923,0.882352941,0.857142857,,0.5,-0.37804878,0.87804878,,,
WV,,Initial Exterior Rating,1,0.625,0.407407407,0.923076923,0.823529412,0.571428571,,0.5,-0.280487805,0.780487805,,,
WV,,Overall Initial Services QC Score,1,1,0.666666667,0.884615385,0.852941176,0.571428571,0.571428571,0.5,-0.304878049,0.804878049,,8,20
WV,BSO,Initial BSO Volume,16,17,22,15,17,5,,3,-1.222222222,19,,,
WV,,Initial BSO % Passing,0.75,0.882352941,0.909090909,0.933333333,1,1,,1,0,1,,20,20
WV,,Overall BSO % Passing,0.818181818,0.904761905,0.916666667,0.882352941,1,1,,1,0,1,,10,10
WV,,Number of Reorders,6,4,2,2,1,0,,0,-0.222222222,1,,,
WV,,Average Days to Complete Reorder,14,8.4,9.181818182,38,44,,,,-,,,10,10
WV,,Number of Failed BSO,4,2,2,1,0,0,,0,0,0,,,
WV,,% BSO Failed Interior,0.25,0.058823529,0.045454545,0.066666667,0,0,,0,,0,,,
WV,,% BSO Failed Exterior,0.0625,0,0.045454545,0.066666667,0,0,,0,,0,,,
WV,,% BSO Failed Trash Removal,0.0625,0.117647059,0.090909091,0.066666667,0,0,,0,,0,,,
WV,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
WV,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
WV,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
WV,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
WV,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
WV,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
WV,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
WV,Ongoing QC,Ongoing Services QC Completed,6,15,6,30,46,20,,9,-5,63,,,
WV,,Ongoing Services Safety Rating,0.833333333,0.866666667,0.833333333,0.933333333,0.804347826,0.85,,,-,,,,
WV,,Ongoing Services Interior Rating,0.833333333,0.933333333,1,0.866666667,0.847826087,0.9,,,-,,,,
WV,,Ongoing Services Exterior Rating,0.666666667,0.666666667,0.5,0.7,0.826086957,0.55,,,-,,,,
WV,,Overall Ongoing Services QC Score,0.833333333,0.8,0.833333333,1,0.869565217,0.8,0.8,,-,,,16,20
WV,Seasonal,Wint Count,0,0,0,0,0,31,,,,,,,
WV,,Avg Days to Complete Wints,,,,,,10.74193548,,,,,,,
WV,,Initial Winterization % Overdue,,,,,,,,,,,,,
WV,,Grass Cut Count,,,,,,,,,,,,,
WV,,% Grass Cut Passing,0,0.266666667,0.666666667,0.466666667,0.608695652,0.6,,0.222222222,-0.380952381,0.603174603,,,
WV,,,,,,,,,,,,,,,
WV,,,,,,,,,,,,Overall Score,,76,
ny,New York,,,,,,,,,,,,,,
ny,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
ny,Initial Services,Initial Services Completed,49,175,90,98,66,65,,35,18.77777778,73,,,
ny,,Average Days to Complete Initial Service,11.67857143,16.69127517,17.8,15.93023256,13.07142857,10.75824176,10.75824176,10.03478261,-4.907126105,14.94190871,,12,20
ny,,Average Days to BSO Pass,6.263157895,14.26896552,19.66666667,15.78313253,16.61666667,12.11111111,,10.03478261,-4.907126105,14.94190871,,,
ny,,% Completed >10 Days,0.073394495,0.69212963,0.669172932,0.597826087,0.52688172,0.434065934,0.434065934,0.408695652,-0.114125925,0.522821577,,,
ny,,Initial Interior Maintenance % Overdue,0.351351351,0.821428571,0.741935484,0.71875,0.65625,0.484375,,0.414634146,-0.231707317,0.646341463,,,
ny,,Initial Exterior Maintenance % Overdue,0.357142857,0.718120805,0.7125,0.604651163,0.535714286,0.436363636,,0.428571429,-0.091976517,0.520547945,,,
ny,,Initial Trash Removal % Overdue,0.454545455,0.832167832,0.731182796,0.712765957,0.666666667,0.476190476,,0.435897436,-0.203637448,0.639534884,,,
ny,,Initial Interior Maintenance % Overdue,0.620689655,0.627906977,0.489361702,0.4375,0.342857143,0.178571429,0.178571429,,,,,,
ny,,Initial Exterior Maintenance % Overdue,0.510204082,0.682926829,0.555555556,0.291666667,0.322580645,0.19047619,0.19047619,,,,,,
ny,,Initial Trash Removal % Overdue,0.58490566,0.594594595,0.475,0.464285714,0.294117647,0.16,0.16,,,,,,
ny,Initial QC,Initial Services QC Completed,3,99,96,99,98,37,,19,-10.33333333,132,,,
ny,,Initial Safety Rating,1,0.686868687,0.572916667,0.686868687,0.714285714,0.648648649,,0.526315789,-0.178229665,0.704545455,,,
ny,,Initial Interior Rating,1,0.828282828,0.8125,0.797979798,0.887755102,0.864864865,,0.842105263,-0.036682616,0.878787879,,,
ny,,Initial Exterior Rating,1,0.404040404,0.333333333,0.414141414,0.520408163,0.621621622,,0.526315789,-0.026714514,0.553030303,,,
ny,,Overall Initial Services QC Score,1,0.656565657,0.552083333,0.606060606,0.693877551,0.72972973,0.72972973,0.526315789,-0.178229665,0.704545455,,12,20
ny,BSO,Initial BSO Volume,26,156,76,82,66,45,,23,5.666666667,78,,,
ny,,Initial BSO % Passing,0.807692308,0.794871795,0.736842105,0.804878049,0.818181818,0.8,,0.739130435,-0.094202899,0.833333333,,16,20
ny,,Overall BSO % Passing,0.78125,0.765258216,0.725,0.793650794,0.822222222,0.777777778,,0.709677419,-0.128706419,0.838383838,,8,10
ny,,Number of Reorders,6,57,44,46,24,9,,8,3.333333333,21,,,
ny,,Average Days to Complete Reorder,,8.675,19.81578947,18.76086957,22.84210526,24.75,24.75,,-,,,0,10
ny,,Number of Failed BSO,5,32,20,16,12,9,,6,3.111111111,13,,,
ny,,% BSO Failed Interior,0.115384615,0.083333333,0.131578947,0.146341463,0.045454545,0.133333333,,0.217391304,,0.051282051,,,
ny,,% BSO Failed Exterior,0.115384615,0.128205128,0.105263158,0.134146341,0.151515152,0.088888889,,0.043478261,,0.153846154,,,
ny,,% BSO Failed Trash Removal,0.038461538,0.096153846,0.144736842,0.048780488,0.106060606,0.088888889,,0.130434783,,0.08974359,,,
ny,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
ny,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
ny,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
ny,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
ny,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
ny,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
ny,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
ny,Ongoing QC,Ongoing Services QC Completed,0,72,130,161,270,128,,91,15.44444444,340,,,
ny,,Ongoing Services Safety Rating,,0.791666667,0.7,0.776397516,0.688888889,0.6796875,,,-,,,,
ny,,Ongoing Services Interior Rating,,0.791666667,0.792307692,0.807453416,0.822222222,0.7890625,,,-,,,,
ny,,Ongoing Services Exterior Rating,,0.388888889,0.353846154,0.546583851,0.459259259,0.5,,,-,,,,
ny,,Overall Ongoing Services QC Score,,0.652777778,0.607692308,0.708074534,0.674074074,0.6484375,0.6484375,,-,,,8,20
ny,Seasonal,Wint Count,8,388,0,0,91,107,,,,,,,
ny,,Avg Days to Complete Wints,0,0,,,16,32.45794393,,,,,,,
ny,,Initial Winterization % Overdue,,,,,0.97979798,,,,,,,,
ny,,Grass Cut Count,,,,,,,,,,,,,
ny,,% Grass Cut Passing,-,0.305555556,0.346153846,0.608695652,0.537037037,0.65625,,0.626373626,0.038138332,0.588235294,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Overall Score,,56,
